set_name,Release Date,English Set Name,Japanese Set Name,No Rarity,1st edition,Unlimited,# in Set,Have Images?,Type of Card Done?,Japanese Name Done?,English Name Done?,Stage Done?,Type Done?,Artist Done?,Other Notes,Links
JM16,"August 23, 2002",Split Earth (Skyridge),裂けた大地,,Yes,Yes,,0%,Yes,Yes,Yes,Yes,Yes,Yes,,
JM17,"October 4, 2002",Mysterious Mountains (Skyridge),神秘なる山,,Yes,Yes,,0%,Yes,Yes,Yes,Yes,Yes,Yes,,
ADV Era,,,,,,,,,,,,,,,,
ADV-P,January 2003 - February 2004,ADV-P Promotional cards,,,,,63,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/ADV-P_Promotional_cards_(TCG)
ADV-PLAY,January 2003 - January 2006,PLAY Promotional cards,,,,,32,0%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/PLAY_Promotional_cards_(TCG)
ADV1,"January 31, 2003",ADV Expansion Pack,拡張パック,,Yes,Yes,55,0%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"January 31, 2003",Treecko Constructed Starter Deck,築済みスターター キモリデッキ,,,,19,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Treecko_Constructed_Starter_Deck_(TCG)
,"January 31, 2003",Torchic Constructed Starter Deck,築済みスターター アチャモデッキ,,,,19,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Torchic_Constructed_Starter_Deck_(TCG)
,"January 31, 2003",Mudkip Constructed Starter Deck,築済みスターター ミズゴロウデッキ,,,,19,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Mudkip_Constructed_Starter_Deck_(TCG)
ADV2,"April 18, 2003",Miracle of the Desert,砂漠のきせき,,Yes,Yes,53,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
ADV3,"June 25, 2003",Rulers of the Heavens,天空の覇者,,Yes,Yes,54,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"June 25, 2003",Flygon Constructed Starter Deck,構築済みスターター フライゴンデッキ,,,,19,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Flygon_Constructed_Starter_Deck_(TCG)
,"June 25, 2003",Salamence Constructed Starter Deck,構築済みスターター ボーマンダデッキ,,,,19,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Salamence_Constructed_Starter_Deck_(TCG)
,"July 19, 2003",Movie Commemoration VS Pack,映画公開記念VSパック,,,,19,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Movie_Commemoration_VS_Pack_(TCG)
ADV03.5,"October 24, 2003",Magma VS Aqua: Two Ambitions,マグマVSアクア ふたつの野望,,Yes,Yes,80,99%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"October 24, 2003",Magma Deck Kit,構築済みデッキ マグマ団ハーフデッキW,,,,33,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Magma_Deck_Kit_(TCG)
,"October 24, 2003",Aqua Deck Kit,構築済みデッキ アクア団ハーフデッキW,,,,33,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Aqua_Deck_Kit_(TCG)
,"November 17, 2003",Gift Box Latias ex Half Deck,ギフトボックス,,,,18,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Gift_Box_(TCG)
,"November 17, 2003",Gift Box Latios ex Half Deck,ギフトボックス,,,,18,100%,No,No,No,No,No,No,,
ADV4,"January 16, 2004",Undone Seal,とかれた封印,,Yes,Yes,83,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"January 16, 2004",Metagross Constructed Starter Deck,構築済みスターター メタグロスデッキ,,,,19,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Metagross_Constructed_Starter_Deck_(TCG)
PCG Era,,,,,,,,,,,,,,,,
PCG-P,February 2004 - July 2006,PCG-P Promotional cards,,,,,154,99%,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/PCG-P_Promotional_cards_(TCG)
,"March 19, 2004","Venusaur, Charizard, and Blastoise Random Constructed Starter Decks ","ランダム構築スターター フシギバナ★草, リザードン★炎, and カメックス★水 ",,,,52,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Venusaur/Charizard/Blastoise_Random_Constructed_Starter_Decks_(TCG)
PCG01,"April 9, 2004",Flight of Legends,伝説の飛翔,,Yes,Yes,82,0%,Yes,Yes,Yes,Yes,Yes,Yes,,
PCG02,"July 1, 2004",Clash of the Blue Sky,蒼空の激突,,Yes,Yes,82,0%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"July 1, 2004",Deoxys Constructed Starter Deck,構築済みスターター デオキシスデッキ,,,,15,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Deoxys_Constructed_Starter_Deck_(TCG)
,"July 1, 2004",Rayquaza Constructed Starter Deck,構築済みスターター レックウザデッキ,,,,15,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Rayquaza_Constructed_Starter_Deck_(TCG)
,"July 17, 2004",Movie Commemoration VS Pack: Sky-Splitting Deoxys,映画公開記念VSパック 裂空のデオキシス,,,,19,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Movie_Commemoration_VS_Pack:_Sky-Splitting_Deoxys_(TCG)
PCG03,"October 15, 2004",Rocket Gang Strikes Back,ロケット団の逆襲,,Yes,Yes,85,0%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"October 15, 2004",Black Deck Kit,構築済みデッキ ロケット団ハーフデッキW -black,,,,20,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Black_Deck_Kit_(TCG)
,"October 15, 2004",Silver Deck Kit,構築済みデッキ ロケット団ハーフデッキW -silver-,,,,20,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Silver_Deck_Kit_(TCG)
,"November 19, 2004",Gift Box Emerald Deoxys Half Deck,ギフトボックス エメラルドver.,,,,19,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Gift_Box_Emerald_(TCG)
,"November 19, 2004",Gift Box Emerald Rayquaza Half Deck,ギフトボックス エメラルドver.,,,,19,100%,No,No,No,No,No,No,,
,"January 16, 2005",Grass Quick Construction Pack,クイック・コンストラクション・パック,,,,15,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Quick_Construction_Packs_(TCG)
,"January 16, 2005",Fire Quick Construction Pack,クイック・コンストラクション・パック,,,,15,100%,No,No,No,No,No,No,,
,"January 16, 2005",Water Quick Construction Pack,クイック・コンストラクション・パック,,,,15,100%,No,No,No,No,No,No,,
,"January 16, 2005",Lightning Quick Construction Pack,クイック・コンストラクション・パック,,,,15,100%,No,No,No,No,No,No,,
,"January 16, 2005",Psychic Quick Construction Pack,クイック・コンストラクション・パック,,,,15,100%,No,No,No,No,No,No,,
,"January 16, 2005",Fighting Quick Construction Pack,クイック・コンストラクション・パック,,,,15,100%,No,No,No,No,No,No,,
,"March 5, 2005",Meganium Constructed Starter Deck, 構築済みスターター メガニウムex★草,,,,16,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Meganium_Constructed_Starter_Deck_(TCG)
,"March 5, 2005",Typhlosion Constructed Starter Deck,構築済みスターター バクフーンex★炎,,,,16,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Typhlosion_Constructed_Starter_Deck_(TCG)
,"March 5, 2005",Feraligatr Constructed Starter Deck,構築済みスターター オーダイルex★水,,,,16,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Feraligatr_Constructed_Starter_Deck_(TCG)
PCG04,"April 8, 2005","Golden Sky, Silvery Ocean",金の空、銀の海,,Yes,Yes,106,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
PCG05,"June 30, 2005",Mirage Forest,まぼろしの森,,Yes,Yes,86,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"June 30, 2005",Mirage's Mew Constructed Starter Deck,構築済みスターター まぼろしのミュウ,,,,16,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Mirage%27s_Mew_Constructed_Starter_Deck_(TCG)
,"July 15, 2005",Master Kit Bulbasaur,マスターキット,,,,15,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Master_Kit_(TCG)
,"July 15, 2005",Master Kit Torchic,マスターキット,,,,15,100%,No,No,No,No,No,No,,
,"July 15, 2005",Master Kit Side Deck,マスターキット,,,,12,100%,No,No,No,No,No,No,,
,"July 16, 2005",Movie Commemoration VS Pack: Aura's Lucario,映画公開記念VSパック 波導のルカリオ,,,,20,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Movie_Commemoration_VS_Pack:_Aura%27s_Lucario_(TCG)
,"September 30, 2005",Holon Research Tower Fire Quarter Deck,ホロンの研究塔ハーフデッキ1/2炎EX,,,,15,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Holon_Research_Tower_Fire_Quarter_Deck_(TCG)
,"September 30, 2005",Holon Research Tower Water Quarter Deck,ホロンの研究塔ハーフデッキ1/2水EX,,,,15,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Holon_Research_Tower_Water_Quarter_Deck_(TCG)
,"September 30, 2005",Holon Research Tower Lightning Quarter Deck,ホロンの研究塔ハーフデッキ1/2雷EX,,,,15,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Holon_Research_Tower_Lightning_Quarter_Deck_(TCG)
PCG06,"October 28, 2005",Holon Research Tower,ホロンの研究塔,,Yes,Yes,86,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"November 16, 2005",Gift Box Mew • Lucario Mew Quarter Deck,ギフトボックス ミュウ・ルカリオver.,,,,15,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Gift_Box_Mew_%E2%80%A2_Lucario_(TCG)
,"November 16, 2005",Gift Box Mew • Lucario Lucario Quarter Deck,ギフトボックス ミュウ・ルカリオver.,,,,15,100%,No,No,No,No,No,No,,
,"November 16, 2005",Gift Box Mew • Lucario Crawdaunt Quarter Deck,ギフトボックス ミュウ・ルカリオver.,,,,15,100%,No,No,No,No,No,No,,
,"November 16, 2005",Gift Box Mew • Lucario Mightyena Quarter Deck,ギフトボックス ミュウ・ルカリオver.,,,,15,100%,No,No,No,No,No,No,,
JPCG07,"January 27, 2006",Holon Phantom,ホロンの幻影,,Yes,Yes,52,0%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"March 3, 2006",Earth's Groudon ex Constructed Starter Deck,構築済みスターター 大地のグラードンex,,,,16,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Earth%27s_Groudon_ex_Constructed_Starter_Deck_(TCG)
,"March 3, 2006",Ocean's Kyogre ex Constructed Starter Deck,構築済みスターター 大海のカイオーガex,,,,16,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Ocean%27s_Kyogre_ex_Constructed_Starter_Deck_(TCG)
PCG08,"March 10, 2006",Miracle Crystal,きせきの結晶,,Yes,Yes,75,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
PCG09,"June 29, 2006",Offense and Defense of the Furthest Ends,さいはての攻防,,Yes,Yes,68,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"June 29, 2006",Shockwave! Tyranitar ex Constructed Standard Deck,構築済みデッキ 雷震!バンギラスex,,Yes,Yes,24,100%,No,No,No,No,No,No,1st edition and Unlimited exist - https://www.elitefourum.com/t/unlimited-tyranitar-ex-deck/36208/7#:~:text=Yep%2C%20unlimited%20edition%20cards%20of%20the%20Shockwave!%20Tyranitar%20ex%20Constructed%20Standard%20Deck,https://bulbapedia.bulbagarden.net/wiki/Shockwave!_Tyranitar_ex_Constructed_Standard_Deck_(TCG)
,"June 29, 2006",Imprison! Gardevoir ex Constructed Standard Deck,構築済みデッキ 封印!サーナイトex,,,,24,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Imprison!_Gardevoir_ex_Constructed_Standard_Deck_(TCG)
PCG10,"July 5, 2007",World Champions Pack,ワールドチャンピオンズパック,,Yes,Yes,108,0%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"July 15, 2006",Movie Commemoration VS Pack: Sea's Manaphy,映画公開記念VSパック 蒼海のマナフィ,,,,19,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Movie_Commemoration_VS_Pack:_Sea%27s_Manaphy_(TCG)
DP Era,,,,,,,,,,,,,,,,
DP-P,December 2006 - January 2009,DP-P Promotional cards,,,,,127,0%,,,,,,,,https://bulbapedia.bulbagarden.net/wiki/DP-P_Promotional_cards_(TCG)
,May 2007,PPP Promotional cards,,,,,7,0%,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/PPP_Promotional_cards_(TCG)
,October 2006,Entry Pack,エントリーパック ,,,,32,0%,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Entry_Pack_(TCG)
DP1,"November 30, 2006",Space-Time Creation: Diamond Collection & Pearl Collection,時空の創造: ダイヤモンドコレクション / 時空の創造: パールコレクション,,Yes,Yes,122,100%,Yes,Yes,Yes,Yes,Yes,Yes,,
DP2,"March 2, 2007",Secret of the Lakes,湖の秘密,,Yes,Yes,123,40%,Yes,Yes,Yes,Yes,Yes,Yes,,
,"March 2, 2007",Bastiodon the Defender,構築ハーフデッキ 守りのトリデプス,,,,16,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Bastiodon_the_Defender_(TCG)
,"March 2, 2007",Rampardos the Attacker,構築ハーフデッキ 攻めのラムパルド,,,,16,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Rampardos_the_Attacker_(TCG)
DP3,"July 5, 2007",Shining Darkness,ひかる闇,,Yes,Yes,119,100%,No,No,Yes,No,No,No,,
,"July 5, 2007",Dialga LV.X Constructed Standard Deck,構築スタンダードデッキ ディアルガLV.X,,,,18,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Dialga_LV.X_Constructed_Standard_Deck_(TCG)
,"July 5, 2007",Palkia LV.X Constructed Standard Deck,構築スタンダードデッキ パルキアLV.X,,,,18,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Palkia_LV.X_Constructed_Standard_Deck_(TCG)
,"July 14, 2007",10th Movie Commemoration Set,映画10周年記念　プレミアムシート,,,,11,100%,No,No,No,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/10th_Movie_Commemoration_Set_(TCG)
DP4_MP,"October 26, 2007",Moonlit Pursuit,月光の追跡,,Yes,Yes,70,0%,No,No,Yes,No,No,No,,
DP4_DD,"October 26, 2007",Dawn Dash,夜明けの疾走,,Yes,Yes,70,0%,No,No,Yes,No,No,No,,
,"October 26, 2007",Magmortar vs Electivire Deck Kit,対戦スターターパック ブーバーンVSエレキブル,,,,28,100%,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Magmortar_vs_Electivire_Deck_Kit_(TCG)
,"November 30, 2007",Entry Pack '08,エントリーパック '08,,,,42,0%,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Entry_Pack_%2708_(TCG)
DP5_CM,"March 14, 2008",Cry from the Mysterious,秘境の叫び,,Yes,Yes,65,0%,No,No,Yes,No,No,No,,
DP5_TA,"March 14, 2008",Temple of Anger,怒りの神殿,,Yes,Yes,65,0%,No,No,Yes,No,No,No,,
,"March 14, 2008",Heatran vs Regigigas Deck Kit,対戦スターターパック ヒードランVSレジギガス,,,,24,100%,No,No,Yes,No,No,No,,https://bulbapedia.bulbagarden.net/wiki/Heatran_vs_Regigigas_Deck_Kit_(TCG)
DP6,"July 10, 2008",Intense Fight in the Destroyed Sky,破空の激闘,,Yes,Yes,92,0%,No,No,Yes,No,No,No,,
